Region,Community Name,Lat,Lon,Dropdown Check (Feb 17),New Lat,New Lon
Alaska,"Alakanuk, AK",62.68513008396,-165.05145835089,O,62.69,-165.05
Alaska,"Brevig Mission, AK",65.28390131066,-166.54327687843,X,65.27,-166.69
Alaska,"Cold Bay, AK",54.89287036056,-162.58568981718,O,54.89,-162.59
Alaska,"Deering, AK",66.21584687303,-162.68601887367,O,66.22,-162.69
Alaska,"Dillingham, AK",58.69846703977,-158.60418296048,O,58.7,-158.6
Alaska,"Diomede, AK",65.74505388581,-168.98217532320,O,65.75,-168.98
Alaska,"Egegik, AK",58.21752575254,-157.61012923712,O,58.22,-157.61
Alaska,"Ekuk, AK",58.69846703977,-158.60418296048,O,58.7,-158.6
Alaska,"Elim, AK",64.55918135633,-162.10518840138,O,64.56,-162.11
Alaska,"Emmonak, AK",62.82222219730,-164.93645292456,O,62.82,-164.94
Alaska,"Gambell, AK",63.80907552881,-171.75553557951,O,63.81,-171.76
Alaska,"Golovin, AK",64.38321761164,-162.95676379212,O,64.38,-162.96
Alaska,"Goodnews Bay, AK",59.07291062185,-161.76552154466,X,59.16,-161.83
Alaska,"Hooper Bay, AK",61.50931729911,-166.00272466050,O,61.51,-166
Alaska,"Kaktovik, AK",70.19279325131,-143.63969729483,O,70.19,-143.64
Alaska,"Kipnuk, AK",59.97524396100,-164.27984827860,O,59.9,-164.44
Alaska,"Kivalina, AK",67.64173683197,-164.67300408202,O,67.64,-164.67
Alaska,"Kongiganak, AK",59.91414936392,-162.89334915638,O,59.91,-162.89
Alaska,"Kotlik, AK",63.11438827561,-163.41273959410,O,63.11,-163.41
Alaska,"Kotzebue, AK",66.82876743993,-162.78405140106,O,66.83,-162.78
Alaska,"Koyuk, AK",64.70476306071,-161.16176049877,O,64.7,-161.16
Alaska,"Kwigillingok, AK",59.84418244264,-163.11780924772,O,59.84,-163.12
Alaska,"Mekoryuk, AK",60.40778006122,-166.27752756453,O,60.63,-166.27
Alaska,"Naknek, AK",58.65165506981,-157.46698693061,O,58.65,-157.47
Alaska,"Nelson Lagoon, AK",56.08328246505,-161.22275658375,O,56.08,-161.22
Alaska,"Newtok, AK",60.88433762044,-165.15993447947,O,60.88,-165.16
Alaska,"Nome, AK",64.48141065805,-165.42235937528,O,64.38,-165.42
Alaska,"Nunam Iqua, AK",62.57909207024,-165.20431265518,O,62.58,-165.2
Alaska,"Pilot Point, AK",57.59939366239,-157.83329642643,O,57.6,-157.83
Alaska,"Platinum, AK",58.98714427180,-161.95034349055,O,58.99,-161.95
Alaska,"Point Hope, AK",68.28843076168,-166.87691295957,O,68.29,-166.88
Alaska,"Point Lay, AK",69.72626188573,-163.38557223757,O,69.73,-163.39
Alaska,"Port Heiden, AK",56.95994821809,-158.82576865072,X,57.01,-158.95
Alaska,"Prudhoe Bay, AK",70.44871798632,-148.03332113867,O,70.45,-148.03
Alaska,"Quinhagak, AK",59.73474536305,-162.00314976041,X,59.72,-162.11
Alaska,"Savoonga, AK",63.73258067629,-170.47008854169,O,64.06,-170.51
Alaska,"Scammon Bay, AK",61.87288464705,-165.73331342558,X,61.94,-165.92
Alaska,"Shaktoolik, AK",64.26017040743,-161.45302011971,O,64.26,-161.45
Alaska,"Shishmaref, AK",66.21762640585,-166.22757759434,O,66.22,-166.23
Alaska,"St. George, AK",56.63327922361,-169.53082679879,O,56.63,-169.53
Alaska,"St. Michael, AK",63.49826814609,-161.85402976797,O,63.81,-161.94
Alaska,"St. Paul, AK",57.10883514779,-170.25476866454,O,57.11,-170.25
